,tournament_id,customer_id,place,score
0,1,93,1,13
1,1,202,2,12
2,1,342,3,11
3,1,132,4,10
4,1,400,5,9
5,1,15,6,8
6,1,447,7,7
7,1,6,8,6
8,1,504,9,5
9,1,474,10,4
10,1,309,11,3
11,1,567,12,2
12,1,470,13,1
13,2,395,1,11
14,2,41,2,10
15,2,181,3,9
16,2,274,4,8
17,2,474,5,7
18,2,502,6,6
19,2,193,7,5
20,2,96,8,4
21,2,429,9,3
22,2,43,10,2
23,2,516,11,1
24,3,355,1,17
25,3,102,2,16
26,3,475,3,15
27,3,298,4,14
28,3,288,5,13
29,3,47,6,12
30,3,149,7,11
31,3,88,8,10
32,3,25,9,9
33,3,85,10,8
34,3,457,11,7
35,3,563,12,6
36,3,191,13,5
37,3,290,14,4
38,3,375,15,3
39,3,18,16,2
40,3,143,17,1
41,4,373,1,22
42,4,522,2,21
43,4,481,3,20
44,4,405,4,19
45,4,565,5,18
46,4,362,6,17
47,4,111,7,16
48,4,135,8,15
49,4,536,9,14
50,4,508,10,13
51,4,158,11,12
52,4,216,12,11
53,4,132,13,10
54,4,46,14,9
55,4,249,15,8
56,4,488,16,7
57,4,193,17,6
58,4,130,18,5
59,4,201,19,4
60,4,126,20,3
61,4,452,21,2
62,4,165,22,1
63,5,466,1,46
64,5,579,2,45
65,5,247,3,44
66,5,215,4,43
67,5,12,5,42
68,5,54,6,41
69,5,446,7,40
70,5,557,8,39
71,5,403,9,38
72,5,289,10,37
73,5,486,11,36
74,5,70,12,35
75,5,45,13,34
76,5,587,14,33
77,5,267,15,32
78,5,471,16,31
79,5,30,17,30
80,5,193,18,29
81,5,81,19,28
82,5,549,20,27
83,5,124,21,26
84,5,435,22,25
85,5,172,23,24
86,5,176,24,23
87,5,470,25,22
88,5,308,26,21
89,5,565,27,20
90,5,409,28,19
91,5,450,29,18
92,5,95,30,17
93,5,437,31,16
94,5,1,32,15
95,5,264,33,14
96,5,201,34,13
97,5,527,35,12
98,5,47,36,11
99,5,567,37,10
100,5,304,38,9
101,5,74,39,8
102,5,598,40,7
103,5,151,41,6
104,5,340,42,5
105,5,531,43,4
106,5,135,44,3
107,5,185,45,2
108,5,528,46,1
109,6,368,1,17
110,6,591,2,16
111,6,222,3,15
112,6,572,4,14
113,6,560,5,13
114,6,83,6,12
115,6,42,7,11
116,6,246,8,10
117,6,525,9,9
118,6,221,10,8
119,6,169,11,7
120,6,166,12,6
121,6,518,13,5
122,6,73,14,4
123,6,412,15,3
124,6,203,16,2
125,6,545,17,1
126,7,231,1,16
127,7,170,2,15
128,7,110,3,14
129,7,501,4,13
130,7,335,5,12
131,7,512,6,11
132,7,294,7,10
133,7,246,8,9
134,7,224,9,8
135,7,247,10,7
136,7,30,11,6
137,7,567,12,5
138,7,553,13,4
139,7,245,14,3
140,7,422,15,2
141,7,479,16,1
142,8,145,1,18
143,8,335,1,18
144,8,23,2,17
145,8,277,2,17
146,8,142,3,16
147,8,466,3,16
148,8,352,4,15
149,8,254,4,15
150,8,431,5,14
151,8,354,5,14
152,8,69,6,13
153,8,377,6,13
154,8,586,7,12
155,8,14,7,12
156,8,324,8,11
157,8,88,8,11
158,8,24,9,10
159,8,320,9,10
160,8,130,10,9
161,8,419,10,9
162,8,294,11,8
163,8,200,11,8
164,8,76,12,7
165,8,274,12,7
166,8,42,13,6
167,8,165,13,6
168,8,592,14,5
169,8,173,14,5
170,8,26,15,4
171,8,519,15,4
172,8,511,16,3
173,8,589,16,3
174,8,176,17,2
175,8,134,17,2
176,8,289,18,1
177,8,269,18,1
178,9,22,1,49
179,9,553,2,48
180,9,584,3,47
181,9,524,4,46
182,9,507,5,45
183,9,541,6,44
184,9,213,7,43
185,9,204,8,42
186,9,475,9,41
187,9,315,10,40
188,9,370,11,39
189,9,88,12,38
190,9,382,13,37
191,9,86,14,36
192,9,72,15,35
193,9,97,16,34
194,9,590,17,33
195,9,305,18,32
196,9,34,19,31
197,9,345,20,30
198,9,529,21,29
199,9,410,22,28
200,9,168,23,27
201,9,568,24,26
202,9,84,25,25
203,9,555,26,24
204,9,298,27,23
205,9,94,28,22
206,9,135,29,21
207,9,175,30,20
208,9,277,31,19
209,9,598,32,18
210,9,442,33,17
211,9,9,34,16
212,9,243,35,15
213,9,245,36,14
214,9,87,37,13
215,9,103,38,12
216,9,57,39,11
217,9,414,40,10
218,9,458,41,9
219,9,329,42,8
220,9,489,43,7
221,9,556,44,6
222,9,595,45,5
223,9,391,46,4
224,9,176,47,3
225,9,431,48,2
226,9,563,49,1
227,10,53,1,15
228,10,449,2,14
229,10,139,3,13
230,10,403,4,12
231,10,373,5,11
232,10,16,6,10
233,10,303,7,9
234,10,4,8,8
235,10,176,9,7
236,10,71,10,6
237,10,29,11,5
238,10,244,12,4
239,10,197,13,3
240,10,512,14,2
241,10,438,15,1
