,date,purchase_id,inventory_id,staff_id,customer_id
0,2021-01-05,1,6,1,230
1,2021-01-05,1,46,1,230
2,2021-01-06,2,190,1,58
3,2021-01-06,2,19,1,58
4,2021-01-07,3,303,1,371
5,2021-01-07,3,341,1,371
6,2021-01-07,3,22,1,371
7,2021-01-08,4,11,1,583
8,2021-01-08,4,2,1,583
9,2021-01-08,4,3,1,583
10,2021-01-08,5,7,1,526
11,2021-01-08,5,43,1,526
12,2021-01-08,6,18,1,230
13,2021-01-08,7,42,1,143
14,2021-01-08,8,28,1,117
15,2021-01-10,9,447,1,258
16,2021-01-10,9,70,1,258
17,2021-01-10,9,434,1,258
18,2021-01-11,10,37,1,552
19,2021-01-11,10,36,1,552
20,2021-01-12,11,789,1,187
21,2021-01-12,11,1334,1,187
22,2021-01-12,11,119,1,187
23,2021-01-12,12,10,1,310
24,2021-01-12,12,30,1,310
25,2021-01-14,13,1,1,33
26,2021-01-15,14,110,1,62
27,2021-01-15,14,112,1,62
28,2021-01-18,15,74,1,96
29,2021-01-20,16,117,1,449
30,2021-01-20,16,32,1,449
31,2021-01-20,17,150,1,510
32,2021-01-20,17,374,1,510
33,2021-01-22,18,137,1,435
34,2021-01-22,18,501,1,435
35,2021-01-23,19,4,2,120
36,2021-01-23,19,15,2,120
37,2021-01-23,19,146,2,120
38,2021-01-24,20,45,1,66
39,2021-01-24,20,576,1,66
40,2021-01-24,20,81,1,66
41,2021-01-24,21,73,1,454
42,2021-01-24,21,108,1,454
43,2021-01-24,22,72,1,369
44,2021-01-24,22,273,1,369
45,2021-01-24,22,215,1,369
46,2021-01-24,23,16,1,587
47,2021-01-27,24,415,2,447
48,2021-01-27,25,173,2,226
49,2021-01-29,26,5,2,477
50,2021-01-29,27,75,2,588
51,2021-01-29,27,25,2,588
52,2021-01-29,28,407,2,14
53,2021-01-29,28,52,2,14
54,2021-01-29,29,1072,2,164
55,2021-01-30,30,251,2,433
56,2021-01-30,31,47,2,123
57,2021-01-30,31,41,2,123
58,2021-01-30,31,88,2,123
59,2021-02-01,32,34,2,597
60,2021-02-01,32,503,1,597
61,2021-02-01,33,697,2,170
62,2021-02-02,34,414,1,442
63,2021-02-02,34,188,1,442
64,2021-02-02,34,65,1,442
65,2021-02-02,35,24,1,441
66,2021-02-02,35,463,1,441
67,2021-02-02,35,473,1,441
68,2021-02-03,36,1020,1,90
69,2021-02-03,36,739,1,90
70,2021-02-04,37,82,2,106
71,2021-02-04,38,9,2,103
72,2021-02-06,39,51,2,391
73,2021-02-06,40,26,2,110
74,2021-02-07,41,63,1,162
75,2021-02-07,41,58,1,162
76,2021-02-07,41,526,1,162
77,2021-02-08,42,39,1,366
78,2021-02-08,43,516,1,287
79,2021-02-09,44,17,2,506
80,2021-02-09,44,35,1,506
81,2021-02-09,44,1143,2,506
82,2021-02-10,45,114,2,90
83,2021-02-10,45,86,2,90
84,2021-02-10,45,1600,2,90
85,2021-02-11,46,38,2,396
86,2021-02-11,46,250,1,396
87,2021-02-11,46,50,2,396
88,2021-02-11,47,123,1,372
89,2021-02-11,47,8,1,372
90,2021-02-12,48,159,2,18
91,2021-02-12,48,595,2,18
92,2021-02-12,48,102,2,18
93,2021-02-13,49,1075,2,271
94,2021-02-13,49,1374,1,271
95,2021-02-13,49,59,2,271
96,2021-02-13,50,781,2,202
97,2021-02-13,50,955,2,202
98,2021-02-14,51,155,1,163
99,2021-02-14,51,20,1,163
100,2021-02-14,52,90,1,5
101,2021-02-14,52,261,1,5
102,2021-02-14,52,85,1,5
103,2021-02-15,53,14,1,314
104,2021-02-15,54,78,1,167
105,2021-02-15,54,139,2,167
106,2021-02-16,55,76,2,408
107,2021-02-16,55,23,2,408
108,2021-02-16,56,104,2,341
109,2021-02-16,56,62,2,341
110,2021-02-16,56,21,2,341
111,2021-02-16,57,138,2,144
112,2021-02-16,57,121,2,144
113,2021-02-16,57,203,2,144
114,2021-02-17,58,1016,2,52
115,2021-02-18,59,1489,2,199
116,2021-02-18,59,158,2,199
117,2021-02-18,59,868,2,199
118,2021-02-18,60,12,2,490
119,2021-02-18,60,293,2,490
120,2021-02-18,60,643,2,490
121,2021-02-19,61,145,2,297
122,2021-02-21,62,1633,1,82
123,2021-02-21,63,2585,1,239
124,2021-02-23,64,208,1,217
125,2021-02-23,64,140,1,217
126,2021-02-23,64,875,2,217
127,2021-02-23,65,521,2,205
128,2021-02-23,65,692,1,205
129,2021-02-23,65,40,1,205
130,2021-02-24,66,971,2,588
131,2021-02-24,66,107,2,588
132,2021-02-24,66,1202,1,588
133,2021-02-24,67,805,2,465
134,2021-02-24,68,197,2,166
135,2021-02-24,68,89,2,166
136,2021-02-24,68,84,2,166
137,2021-02-24,69,498,1,174
138,2021-02-24,69,27,1,174
139,2021-02-25,70,87,1,346
140,2021-02-25,70,554,1,346
141,2021-02-25,71,92,1,183
142,2021-02-25,71,1114,1,183
143,2021-02-27,72,120,1,152
144,2021-02-27,72,124,1,152
145,2021-02-28,73,870,1,215
146,2021-03-02,74,132,2,213
147,2021-03-02,74,174,2,213
148,2021-03-02,74,957,2,213
149,2021-03-03,75,1503,2,548
150,2021-03-03,75,116,2,548
151,2021-03-03,76,98,1,158
152,2021-03-03,76,109,2,158
153,2021-03-04,77,48,2,183
154,2021-03-07,78,896,1,548
155,2021-03-07,79,1951,1,251
156,2021-03-09,80,1277,1,175
157,2021-03-11,81,312,2,349
158,2021-03-11,81,204,2,349
159,2021-03-12,82,1468,2,230
160,2021-03-12,82,225,2,230
161,2021-03-12,82,118,2,230
162,2021-03-12,83,178,2,306
163,2021-03-13,84,1079,2,543
164,2021-03-13,84,60,1,543
165,2021-03-13,85,1695,1,225
166,2021-03-13,86,184,1,295
167,2021-03-13,86,157,1,295
168,2021-03-13,86,585,2,295
169,2021-03-13,87,246,2,137
170,2021-03-13,87,181,2,137
171,2021-03-14,88,217,1,67
172,2021-03-14,89,67,1,485
173,2021-03-14,89,1052,1,485
174,2021-03-14,89,105,1,485
175,2021-03-15,90,356,1,33
176,2021-03-15,91,1129,2,69
177,2021-03-15,91,1199,1,69
178,2021-03-15,92,216,2,247
179,2021-03-15,92,57,1,247
180,2021-03-15,92,161,2,247
181,2021-03-15,93,218,1,564
182,2021-03-15,93,33,1,564
183,2021-03-15,93,252,1,564
184,2021-03-15,94,382,2,68
185,2021-03-16,95,339,2,448
186,2021-03-16,95,111,2,448
187,2021-03-16,95,147,2,448
188,2021-03-16,96,79,2,592
189,2021-03-16,96,527,2,592
190,2021-03-16,96,1701,2,592
191,2021-03-16,97,135,2,67
192,2021-03-16,97,1301,2,67
193,2021-03-16,98,1727,2,451
194,2021-03-16,98,289,2,451
195,2021-03-16,98,13,2,451
196,2021-03-16,99,91,2,180
197,2021-03-16,99,365,2,180
198,2021-03-16,99,180,2,180
199,2021-03-17,100,229,2,453
200,2021-03-17,100,126,2,453
201,2021-03-17,101,207,2,235
202,2021-03-17,101,31,2,235
203,2021-03-17,101,2589,2,235
204,2021-03-19,102,93,2,485
205,2021-03-21,103,164,1,148
206,2021-03-21,104,1299,1,568
207,2021-03-21,104,710,1,568
208,2021-03-21,104,56,1,568
209,2021-03-21,105,122,1,144
210,2021-03-21,106,230,1,521
211,2021-03-21,106,586,1,521
212,2021-03-21,107,214,1,368
213,2021-03-21,107,125,1,368
214,2021-03-21,107,264,1,368
215,2021-03-22,108,1151,2,553
216,2021-03-22,108,568,2,553
217,2021-03-23,109,402,2,270
218,2021-03-23,110,485,2,600
219,2021-03-23,110,29,2,600
220,2021-03-28,111,183,1,305
221,2021-03-28,111,176,1,305
222,2021-03-28,111,64,1,305
223,2021-03-30,112,869,2,123
224,2021-03-30,112,219,2,123
225,2021-03-30,112,600,2,123
226,2021-03-31,113,239,1,303
227,2021-03-31,113,99,2,303
228,2021-04-03,114,129,1,383
229,2021-04-05,115,379,1,465
230,2021-04-05,115,128,1,465
231,2021-04-05,115,130,1,465
232,2021-04-07,116,68,2,284
233,2021-04-07,116,313,2,284
234,2021-04-09,117,322,3,474
235,2021-04-09,117,490,1,474
236,2021-04-09,118,393,3,411
237,2021-04-09,118,226,1,411
238,2021-04-10,119,265,1,203
239,2021-04-10,119,233,1,203
240,2021-04-10,119,380,1,203
241,2021-04-11,120,1671,1,390
242,2021-04-11,120,718,1,390
243,2021-04-11,120,1833,1,390
244,2021-04-11,121,115,1,104
245,2021-04-11,121,535,1,104
246,2021-04-11,121,172,1,104
247,2021-04-11,122,1377,1,234
248,2021-04-11,122,373,1,234
249,2021-04-11,123,1357,1,326
250,2021-04-11,123,689,1,326
251,2021-04-11,123,143,1,326
252,2021-04-11,124,169,1,340
253,2021-04-11,124,193,1,340
254,2021-04-13,125,228,3,265
255,2021-04-13,125,3071,3,265
256,2021-04-14,126,302,1,56
257,2021-04-14,126,166,1,56
258,2021-04-14,126,376,1,56
259,2021-04-14,127,232,1,140
260,2021-04-14,127,54,1,140
261,2021-04-14,127,308,1,140
262,2021-04-15,128,392,3,240
263,2021-04-15,128,162,3,240
264,2021-04-16,129,1810,2,391
265,2021-04-17,130,1814,2,386
266,2021-04-17,130,884,2,386
267,2021-04-17,131,167,2,531
268,2021-04-17,131,720,2,531
269,2021-04-18,132,71,1,537
270,2021-04-18,132,1405,1,537
271,2021-04-18,132,1574,1,537
272,2021-04-18,133,908,1,567
273,2021-04-18,134,131,1,25
274,2021-04-18,134,342,1,25
275,2021-04-18,134,3076,1,25
276,2021-04-18,135,475,1,118
277,2021-04-18,136,1905,1,550
278,2021-04-19,137,187,3,378
279,2021-04-19,137,2473,1,378
280,2021-04-19,137,141,1,378
281,2021-04-19,138,1411,1,570
282,2021-04-19,138,1839,1,570
283,2021-04-19,139,625,3,541
284,2021-04-19,139,391,3,541
285,2021-04-19,139,285,3,541
286,2021-04-20,140,2177,1,361
287,2021-04-21,141,270,1,238
288,2021-04-21,141,44,1,238
289,2021-04-21,141,149,1,238
290,2021-04-21,142,297,1,70
